experiment,fold,true_class_name,rank,prompt_text,prompt_concept,count,frequency
Concept-12 PEPS topk=5 tau=0.07,4,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,98,0.3858267716535433
Concept-12 PEPS topk=5 tau=0.07,4,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,24,0.09448818897637795
Concept-12 PEPS topk=5 tau=0.07,4,Adenocarcinoma,4,A low magnification histopathology image showing lung adenocarcinoma with acinar gland-forming architecture.,acinar growth pattern,4,0.015748031496062992
Concept-12 PEPS topk=5 tau=0.07,4,Adenocarcinoma,5,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,glandular lumen formation,3,0.011811023622047244
Concept-12 PEPS topk=5 tau=0.07,4,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,60,0.45454545454545453
Concept-12 PEPS topk=5 tau=0.07,4,NonAdenocarcinoma,2,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,40,0.30303030303030304
Concept-12 PEPS topk=5 tau=0.07,4,NonAdenocarcinoma,3,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,11,0.08333333333333333
Concept-12 PEPS topk=5 tau=0.07,4,NonAdenocarcinoma,4,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,6,0.045454545454545456
Concept-12 PEPS topk=5 tau=0.07,4,NonAdenocarcinoma,5,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,6,0.045454545454545456
Concept-12 PEPS topk=5 tau=0.07,5,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,92,0.36220472440944884
Concept-12 PEPS topk=5 tau=0.07,5,Adenocarcinoma,2,A low magnification histopathology image showing lung adenocarcinoma with lepidic growth pattern.,lepidic growth pattern,73,0.2874015748031496
Concept-12 PEPS topk=5 tau=0.07,5,Adenocarcinoma,3,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,47,0.18503937007874016
Concept-12 PEPS topk=5 tau=0.07,5,Adenocarcinoma,4,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,lepidic tumor cells along alveolar septa,18,0.07086614173228346
Concept-12 PEPS topk=5 tau=0.07,5,Adenocarcinoma,5,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,glandular lumen formation,14,0.05511811023622047
Concept-12 PEPS topk=5 tau=0.07,5,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,47,0.3560606060606061
Concept-12 PEPS topk=5 tau=0.07,5,NonAdenocarcinoma,2,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,24,0.18181818181818182
Concept-12 PEPS topk=5 tau=0.07,5,NonAdenocarcinoma,3,A high magnification histopathology image showing fibrosis and chronic inflammatory infiltrates without adenocarcinoma cells.,fibrosis and chronic inflammation,19,0.14393939393939395
Concept-12 PEPS topk=5 tau=0.07,5,NonAdenocarcinoma,4,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,12,0.09090909090909091
Concept-12 PEPS topk=5 tau=0.07,5,NonAdenocarcinoma,5,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,10,0.07575757575757576
Concept-12 PEPS topk=5 tau=0.15,1,Adenocarcinoma,1,A high magnification histopathology image showing lepidic tumor cells growing along alveolar septa.,lepidic tumor cells along alveolar septa,73,0.28515625
Concept-12 PEPS topk=5 tau=0.15,1,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,73,0.28515625
Concept-12 PEPS topk=5 tau=0.15,1,Adenocarcinoma,3,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,37,0.14453125
Concept-12 PEPS topk=5 tau=0.15,1,Adenocarcinoma,4,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,31,0.12109375
Concept-12 PEPS topk=5 tau=0.15,1,Adenocarcinoma,5,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,18,0.0703125
Concept-12 PEPS topk=5 tau=0.15,1,NonAdenocarcinoma,1,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,51,0.38636363636363635
Concept-12 PEPS topk=5 tau=0.15,1,NonAdenocarcinoma,2,A high magnification histopathology image showing chondromyxoid matrix and benign stromal elements in pulmonary hamartoma.,chondromyxoid matrix,43,0.32575757575757575
Concept-12 PEPS topk=5 tau=0.15,1,NonAdenocarcinoma,3,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.,chondroid or myxochondroid matrix,12,0.09090909090909091
Concept-12 PEPS topk=5 tau=0.15,1,NonAdenocarcinoma,4,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,7,0.05303030303030303
Concept-12 PEPS topk=5 tau=0.15,1,NonAdenocarcinoma,5,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,6,0.045454545454545456
Concept-12 PEPS topk=5 tau=0.15,2,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,126,0.4921875
Concept-12 PEPS topk=5 tau=0.15,2,Adenocarcinoma,2,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,86,0.3359375
Concept-12 PEPS topk=5 tau=0.15,2,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,42,0.1640625
Concept-12 PEPS topk=5 tau=0.15,2,Adenocarcinoma,4,A high magnification histopathology image showing adenocarcinoma cells with intracytoplasmic mucin vacuoles.,intracytoplasmic mucin vacuoles,1,0.00390625
Concept-12 PEPS topk=5 tau=0.15,2,Adenocarcinoma,5,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,1,0.00390625
Concept-12 PEPS topk=5 tau=0.15,2,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,44,0.3333333333333333
Concept-12 PEPS topk=5 tau=0.15,2,NonAdenocarcinoma,2,A low magnification histopathology image showing organoid nests and trabeculae consistent with neuroendocrine morphology.,organoid neuroendocrine nesting pattern,33,0.25
Concept-12 PEPS topk=5 tau=0.15,2,NonAdenocarcinoma,3,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,17,0.12878787878787878
Concept-12 PEPS topk=5 tau=0.15,2,NonAdenocarcinoma,4,A low magnification histopathology image showing solid non-gland-forming tumor nests without adenocarcinoma-type acinar structures.,solid non-gland-forming tumor nests,16,0.12121212121212122
Concept-12 PEPS topk=5 tau=0.15,2,NonAdenocarcinoma,5,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,6,0.045454545454545456
Concept-12 PEPS topk=5 tau=0.15,3,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,127,0.5
Concept-12 PEPS topk=5 tau=0.15,3,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,118,0.4645669291338583
Concept-12 PEPS topk=5 tau=0.15,3,Adenocarcinoma,3,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,9,0.03543307086614173
Concept-12 PEPS topk=5 tau=0.15,3,NonAdenocarcinoma,1,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.,chondroid or myxochondroid matrix,55,0.41044776119402987
Concept-12 PEPS topk=5 tau=0.15,3,NonAdenocarcinoma,2,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,43,0.3208955223880597
Concept-12 PEPS topk=5 tau=0.15,3,NonAdenocarcinoma,3,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,12,0.08955223880597014
Concept-12 PEPS topk=5 tau=0.15,3,NonAdenocarcinoma,4,A high magnification histopathology image showing squamous cell carcinoma with keratinization and keratin pearls.,keratinization,10,0.07462686567164178
Concept-12 PEPS topk=5 tau=0.15,3,NonAdenocarcinoma,5,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,7,0.05223880597014925
Concept-12 PEPS topk=5 tau=0.15,4,Adenocarcinoma,1,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,105,0.41338582677165353
Concept-12 PEPS topk=5 tau=0.15,4,Adenocarcinoma,2,A high magnification histopathology image showing atypical gland-forming tumor cells with pseudostratified nuclei.,atypical gland-forming tumor cells,62,0.2440944881889764
Concept-12 PEPS topk=5 tau=0.15,4,Adenocarcinoma,3,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,47,0.18503937007874016
Concept-12 PEPS topk=5 tau=0.15,4,Adenocarcinoma,4,A high magnification histopathology image showing adenocarcinoma cells forming glandular lumina.,glandular lumen formation,14,0.05511811023622047
Concept-12 PEPS topk=5 tau=0.15,4,Adenocarcinoma,5,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,13,0.051181102362204724
Concept-12 PEPS topk=5 tau=0.15,4,NonAdenocarcinoma,1,A high magnification histopathology image showing chondroid or myxochondroid matrix characteristic of hamartomatous morphology.,chondroid or myxochondroid matrix,45,0.3409090909090909
Concept-12 PEPS topk=5 tau=0.15,4,NonAdenocarcinoma,2,A low magnification histopathology image showing benign reactive lung tissue changes without adenocarcinoma morphology.,benign reactive lung tissue,44,0.3333333333333333
Concept-12 PEPS topk=5 tau=0.15,4,NonAdenocarcinoma,3,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,16,0.12121212121212122
Concept-12 PEPS topk=5 tau=0.15,4,NonAdenocarcinoma,4,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,11,0.08333333333333333
Concept-12 PEPS topk=5 tau=0.15,4,NonAdenocarcinoma,5,A high magnification histopathology image showing chondromyxoid matrix and benign stromal elements in pulmonary hamartoma.,chondromyxoid matrix,10,0.07575757575757576
Concept-12 PEPS topk=5 tau=0.15,5,Adenocarcinoma,1,A high magnification histopathology image showing gland-forming adenocarcinoma cells with vesicular chromatin and prominent nucleoli.,prominent nucleoli in gland-forming tumor cells,126,0.49606299212598426
Concept-12 PEPS topk=5 tau=0.15,5,Adenocarcinoma,2,A low magnification histopathology image showing infiltrative gland-forming lung adenocarcinoma replacing alveolated lung parenchyma.,infiltrative glandular adenocarcinoma,71,0.2795275590551181
Concept-12 PEPS topk=5 tau=0.15,5,Adenocarcinoma,3,A low magnification histopathology image showing multifocal irregular glandular proliferation consistent with lung adenocarcinoma.,multifocal irregular glandular proliferation,29,0.1141732283464567
Concept-12 PEPS topk=5 tau=0.15,5,Adenocarcinoma,4,A low magnification histopathology image showing lung adenocarcinoma with cribriform glandular architecture.,cribriform glandular pattern,25,0.0984251968503937
Concept-12 PEPS topk=5 tau=0.15,5,Adenocarcinoma,5,A high magnification histopathology image showing solid sheets of adenocarcinoma cells with nuclear atypia.,solid sheets with nuclear atypia,1,0.003937007874015748
Concept-12 PEPS topk=5 tau=0.15,5,NonAdenocarcinoma,1,"A high magnification histopathology image showing inflammatory cells, granulomas, or fibrosis without adenocarcinoma morphology.",inflammatory cells and granulomas,66,0.5
Concept-12 PEPS topk=5 tau=0.15,5,NonAdenocarcinoma,2,A low magnification histopathology image showing a fibroinflammatory lung lesion with scarring and no malignant gland formation.,fibroinflammatory scar-like lesion,46,0.3484848484848485
Concept-12 PEPS topk=5 tau=0.15,5,NonAdenocarcinoma,3,A low magnification histopathology image showing inflammatory or granulomatous lung lesion without malignant glandular structures.,inflammatory or granulomatous lesion,18,0.13636363636363635
Concept-12 PEPS topk=5 tau=0.15,5,NonAdenocarcinoma,4,A low magnification histopathology image showing metastatic tumor in the lung without primary lung adenocarcinoma morphology.,metastatic tumor in lung,2,0.015151515151515152
